Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
3.30E+01,1.63E+03,1.50E+01,2.10E-04,2.40E+01,3.36E-04,1.50E+01,2.10E-04,1.80E+01,2.52E-04,7.27E-05,2.89E+01,0.00E+00
3.40E+01,1.68E+03,2.00E+01,2.80E-04,3.20E+01,4.48E-04,2.70E+01,3.78E-04,2.63E+01,3.68E-04,8.43E-05,2.29E+01,0.00E+00
3.50E+01,1.73E+03,1.70E+01,2.38E-04,3.20E+01,4.48E-04,2.60E+01,3.64E-04,2.50E+01,3.50E-04,1.06E-04,3.02E+01,0.00E+00
3.60E+01,1.78E+03,1.30E+01,1.82E-04,3.70E+01,5.17E-04,3.80E+01,5.31E-04,2.93E+01,4.10E-04,1.98E-04,4.83E+01,0.00E+00
3.70E+01,1.83E+03,1.90E+01,2.66E-04,3.00E+01,4.20E-04,2.20E+01,3.08E-04,2.37E+01,3.31E-04,7.95E-05,2.40E+01,0.00E+00
3.80E+01,1.88E+03,2.80E+01,3.92E-04,2.90E+01,4.06E-04,1.80E+01,2.52E-04,2.50E+01,3.50E-04,8.51E-05,2.43E+01,0.00E+00
1.00E+00,2.50E+01,2.30E+01,3.22E-04,2.30E+01,3.22E-04,2.80E+01,3.92E-04,2.47E+01,3.45E-04,4.04E-05,1.17E+01,1.20E+01
2.00E+00,7.50E+01,2.40E+01,3.36E-04,2.30E+01,3.22E-04,2.70E+01,3.78E-04,2.47E+01,3.45E-04,2.91E-05,8.44E+00,1.20E+01
3.00E+00,1.25E+02,1.50E+01,2.10E-04,1.60E+01,2.24E-04,2.60E+01,3.64E-04,1.90E+01,2.66E-04,8.51E-05,3.20E+01,1.20E+01
4.00E+00,1.75E+02,1.60E+01,2.24E-04,1.40E+01,1.96E-04,2.20E+01,3.08E-04,1.73E+01,2.42E-04,5.82E-05,2.40E+01,1.20E+01
5.00E+00,2.25E+02,2.30E+01,3.22E-04,1.90E+01,2.66E-04,3.30E+01,4.62E-04,2.50E+01,3.50E-04,1.01E-04,2.88E+01,1.20E+01
6.00E+00,2.75E+02,3.40E+01,4.76E-04,2.80E+01,3.92E-04,2.20E+01,3.08E-04,2.80E+01,3.92E-04,8.39E-05,2.14E+01,1.20E+01
7.00E+00,3.25E+02,2.30E+01,3.22E-04,1.30E+01,1.82E-04,3.10E+01,4.34E-04,2.23E+01,3.12E-04,1.26E-04,4.04E+01,1.20E+01
8.00E+00,3.75E+02,2.40E+01,3.36E-04,1.60E+01,2.24E-04,2.70E+01,3.78E-04,2.23E+01,3.12E-04,7.95E-05,2.55E+01,1.20E+01
9.00E+00,4.25E+02,2.30E+01,3.22E-04,9.00E+00,1.26E-04,1.60E+01,2.24E-04,1.60E+01,2.24E-04,9.79E-05,4.38E+01,1.20E+01
1.00E+01,4.75E+02,2.30E+01,3.22E-04,2.20E+01,3.08E-04,9.00E+00,1.26E-04,1.80E+01,2.52E-04,1.09E-04,4.34E+01,1.20E+01
1.10E+01,5.25E+02,1.70E+01,2.38E-04,1.30E+01,1.82E-04,7.00E+00,9.79E-05,1.23E+01,1.72E-04,7.04E-05,4.08E+01,1.20E+01
1.20E+01,5.75E+02,1.70E+01,2.38E-04,7.00E+00,9.79E-05,1.10E+01,1.54E-04,1.17E+01,1.63E-04,7.04E-05,4.31E+01,1.20E+01
1.30E+01,6.25E+02,1.00E+01,1.40E-04,7.00E+00,9.79E-05,8.00E+00,1.12E-04,8.33E+00,1.17E-04,2.14E-05,1.83E+01,1.20E+01
1.40E+01,6.75E+02,1.30E+01,1.82E-04,1.40E+01,1.96E-04,6.00E+00,8.39E-05,1.10E+01,1.54E-04,6.10E-05,3.96E+01,1.20E+01
1.50E+01,7.25E+02,1.00E+01,1.40E-04,1.00E+01,1.40E-04,3.00E+00,4.20E-05,7.67E+00,1.07E-04,5.65E-05,5.27E+01,1.20E+01
1.60E+01,7.75E+02,9.00E+00,1.26E-04,3.00E+00,4.20E-05,1.00E+00,1.40E-05,4.33E+00,6.06E-05,5.82E-05,9.61E+01,1.20E+01
1.70E+01,8.25E+02,1.20E+01,1.68E-04,9.00E+00,1.26E-04,1.00E+00,1.40E-05,7.33E+00,1.03E-04,7.95E-05,7.75E+01,1.20E+01
1.80E+01,8.75E+02,3.00E+00,4.20E-05,8.00E+00,1.12E-04,0.00E+00,0.00E+00,3.67E+00,5.13E-05,5.65E-05,1.10E+02,1.20E+01
1.90E+01,9.25E+02,4.00E+00,5.59E-05,1.00E+01,1.40E-04,0.00E+00,0.00E+00,4.67E+00,6.53E-05,7.04E-05,1.08E+02,1.20E+01
2.00E+01,9.75E+02,4.00E+00,5.59E-05,1.30E+01,1.82E-04,2.00E+00,2.80E-05,6.33E+00,8.86E-05,8.20E-05,9.25E+01,1.20E+01
2.10E+01,1.03E+03,1.00E+00,1.40E-05,1.00E+01,1.40E-04,0.00E+00,0.00E+00,3.67E+00,5.13E-05,7.70E-05,1.50E+02,1.20E+01
2.20E+01,1.08E+03,0.00E+00,0.00E+00,6.00E+00,8.39E-05,1.00E+00,1.40E-05,2.33E+00,3.26E-05,4.50E-05,1.38E+02,1.20E+01
2.30E+01,1.13E+03,2.00E+00,2.80E-05,2.00E+00,2.80E-05,1.00E+00,1.40E-05,1.67E+00,2.33E-05,8.07E-06,3.46E+01,1.20E+01
2.40E+01,1.18E+03,0.00E+00,0.00E+00,2.00E+00,2.80E-05,0.00E+00,0.00E+00,6.67E-01,9.32E-06,1.61E-05,1.73E+02,1.20E+01
2.50E+01,1.23E+03,0.00E+00,0.00E+00,3.00E+00,4.20E-05,1.00E+00,1.40E-05,1.33E+00,1.86E-05,2.14E-05,1.15E+02,1.20E+01
2.60E+01,1.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.40E-05,3.33E-01,4.66E-06,8.07E-06,1.73E+02,1.20E+01
2.70E+01,1.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.40E-05,3.33E-01,4.66E-06,8.07E-06,1.73E+02,1.20E+01
2.80E+01,1.38E+03,3.00E+00,4.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.40E-05,2.42E-05,1.73E+02,1.20E+01
2.90E+01,1.43E+03,3.00E+00,4.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.40E-05,2.42E-05,1.73E+02,1.20E+01
3.00E+01,1.48E+03,8.00E+00,1.12E-04,2.00E+00,2.80E-05,3.00E+00,4.20E-05,4.33E+00,6.06E-05,4.50E-05,7.42E+01,1.20E+01
3.10E+01,1.53E+03,1.10E+01,1.54E-04,0.00E+00,0.00E+00,2.60E+01,3.64E-04,1.23E+01,1.72E-04,1.83E-04,1.06E+02,1.20E+01
3.20E+01,1.58E+03,1.20E+01,1.68E-04,2.00E+00,2.80E-05,2.50E+01,3.50E-04,1.30E+01,1.82E-04,1.61E-04,8.87E+01,1.20E+01
3.30E+01,1.63E+03,2.20E+01,3.08E-04,3.00E+01,4.20E-04,2.30E+01,3.22E-04,2.50E+01,3.50E-04,6.10E-05,1.74E+01,1.20E+01
3.40E+01,1.68E+03,1.30E+01,1.82E-04,3.00E+01,4.20E-04,3.40E+01,4.76E-04,2.57E+01,3.59E-04,1.56E-04,4.34E+01,1.20E+01
3.50E+01,1.73E+03,2.00E+01,2.80E-04,3.80E+01,5.31E-04,2.90E+01,4.06E-04,2.90E+01,4.06E-04,1.26E-04,3.10E+01,1.20E+01
3.60E+01,1.78E+03,1.60E+01,2.24E-04,3.80E+01,5.31E-04,3.10E+01,4.34E-04,2.83E+01,3.96E-04,1.57E-04,3.97E+01,1.20E+01
3.70E+01,1.83E+03,2.50E+01,3.50E-04,4.20E+01,5.87E-04,2.80E+01,3.92E-04,3.17E+01,4.43E-04,1.27E-04,2.87E+01,1.20E+01
3.80E+01,1.88E+03,2.80E+01,3.92E-04,4.10E+01,5.73E-04,2.60E+01,3.64E-04,3.17E+01,4.43E-04,1.14E-04,2.57E+01,1.20E+01
1.00E+00,2.50E+01,4.40E+01,6.15E-04,4.20E+01,5.87E-04,5.60E+01,7.83E-04,4.73E+01,6.62E-04,1.06E-04,1.60E+01,2.40E+01
2.00E+00,7.50E+01,4.50E+01,6.29E-04,3.10E+01,4.34E-04,4.60E+01,6.43E-04,4.07E+01,5.69E-04,1.17E-04,2.06E+01,2.40E+01
3.00E+00,1.25E+02,3.80E+01,5.31E-04,2.50E+01,3.50E-04,4.30E+01,6.01E-04,3.53E+01,4.94E-04,1.30E-04,2.63E+01,2.40E+01
4.00E+00,1.75E+02,3.50E+01,4.90E-04,2.70E+01,3.78E-04,4.00E+01,5.59E-04,3.40E+01,4.76E-04,9.17E-05,1.93E+01,2.40E+01
5.00E+00,2.25E+02,4.10E+01,5.73E-04,2.60E+01,3.64E-04,4.00E+01,5.59E-04,3.57E+01,4.99E-04,1.17E-04,2.35E+01,2.40E+01
6.00E+00,2.75E+02,4.20E+01,5.87E-04,3.40E+01,4.76E-04,3.90E+01,5.45E-04,3.83E+01,5.36E-04,5.65E-05,1.05E+01,2.40E+01
7.00E+00,3.25E+02,3.90E+01,5.45E-04,3.00E+01,4.20E-04,3.40E+01,4.76E-04,3.43E+01,4.80E-04,6.31E-05,1.31E+01,2.40E+01
8.00E+00,3.75E+02,4.10E+01,5.73E-04,3.20E+01,4.48E-04,2.90E+01,4.06E-04,3.40E+01,4.76E-04,8.73E-05,1.84E+01,2.40E+01
9.00E+00,4.25E+02,4.60E+01,6.43E-04,2.20E+01,3.08E-04,1.80E+01,2.52E-04,2.87E+01,4.01E-04,2.12E-04,5.28E+01,2.40E+01
1.00E+01,4.75E+02,3.10E+01,4.34E-04,3.50E+01,4.90E-04,1.50E+01,2.10E-04,2.70E+01,3.78E-04,1.48E-04,3.92E+01,2.40E+01
1.10E+01,5.25E+02,3.40E+01,4.76E-04,3.10E+01,4.34E-04,1.70E+01,2.38E-04,2.73E+01,3.82E-04,1.27E-04,3.32E+01,2.40E+01
1.20E+01,5.75E+02,3.20E+01,4.48E-04,1.90E+01,2.66E-04,1.60E+01,2.24E-04,2.23E+01,3.12E-04,1.19E-04,3.81E+01,2.40E+01
1.30E+01,6.25E+02,2.80E+01,3.92E-04,1.50E+01,2.10E-04,1.90E+01,2.66E-04,2.07E+01,2.89E-04,9.31E-05,3.22E+01,2.40E+01
1.40E+01,6.75E+02,2.70E+01,3.78E-04,1.70E+01,2.38E-04,4.00E+00,5.59E-05,1.60E+01,2.24E-04,1.61E-04,7.21E+01,2.40E+01
1.50E+01,7.25E+02,2.50E+01,3.50E-04,2.10E+01,2.94E-04,7.00E+00,9.79E-05,1.77E+01,2.47E-04,1.32E-04,5.35E+01,2.40E+01
1.60E+01,7.75E+02,1.90E+01,2.66E-04,8.00E+00,1.12E-04,5.00E+00,6.99E-05,1.07E+01,1.49E-04,1.03E-04,6.91E+01,2.40E+01
1.70E+01,8.25E+02,2.10E+01,2.94E-04,1.00E+01,1.40E-04,4.00E+00,5.59E-05,1.17E+01,1.63E-04,1.21E-04,7.39E+01,2.40E+01
1.80E+01,8.75E+02,1.00E+01,1.40E-04,8.00E+00,1.12E-04,0.00E+00,0.00E+00,6.00E+00,8.39E-05,7.40E-05,8.82E+01,2.40E+01
1.90E+01,9.25E+02,4.00E+00,5.59E-05,1.00E+01,1.40E-04,1.00E+00,1.40E-05,5.00E+00,6.99E-05,6.41E-05,9.17E+01,2.40E+01
2.00E+01,9.75E+02,2.00E+00,2.80E-05,1.50E+01,2.10E-04,1.00E+00,1.40E-05,6.00E+00,8.39E-05,1.09E-04,1.30E+02,2.40E+01
2.10E+01,1.03E+03,4.00E+00,5.59E-05,1.80E+01,2.52E-04,0.00E+00,0.00E+00,7.33E+00,1.03E-04,1.32E-04,1.29E+02,2.40E+01
2.20E+01,1.08E+03,0.00E+00,0.00E+00,5.00E+00,6.99E-05,2.00E+00,2.80E-05,2.33E+00,3.26E-05,3.52E-05,1.08E+02,2.40E+01
2.30E+01,1.13E+03,4.00E+00,5.59E-05,2.00E+00,2.80E-05,1.00E+00,1.40E-05,2.33E+00,3.26E-05,2.14E-05,6.55E+01,2.40E+01
2.40E+01,1.18E+03,0.00E+00,0.00E+00,1.00E+00,1.40E-05,2.00E+00,2.80E-05,1.00E+00,1.40E-05,1.40E-05,1.00E+02,2.40E+01
2.50E+01,1.23E+03,0.00E+00,0.00E+00,1.00E+00,1.40E-05,1.00E+00,1.40E-05,6.67E-01,9.32E-06,8.07E-06,8.66E+01,2.40E+01
2.60E+01,1.28E+03,0.00E+00,0.00E+00,3.00E+00,4.20E-05,1.00E+00,1.40E-05,1.33E+00,1.86E-05,2.14E-05,1.15E+02,2.40E+01
2.70E+01,1.33E+03,0.00E+00,0.00E+00,1.00E+00,1.40E-05,1.00E+00,1.40E-05,6.67E-01,9.32E-06,8.07E-06,8.66E+01,2.40E+01
2.80E+01,1.38E+03,8.00E+00,1.12E-04,1.00E+00,1.40E-05,1.00E+00,1.40E-05,3.33E+00,4.66E-05,5.65E-05,1.21E+02,2.40E+01
2.90E+01,1.43E+03,2.50E+01,3.50E-04,0.00E+00,0.00E+00,2.00E+00,2.80E-05,9.00E+00,1.26E-04,1.94E-04,1.54E+02,2.40E+01
3.00E+01,1.48E+03,1.70E+01,2.38E-04,1.40E+01,1.96E-04,1.50E+01,2.10E-04,1.53E+01,2.14E-04,2.14E-05,9.96E+00,2.40E+01
3.10E+01,1.53E+03,2.10E+01,2.94E-04,1.20E+01,1.68E-04,4.00E+01,5.59E-04,2.43E+01,3.40E-04,2.00E-04,5.87E+01,2.40E+01
3.20E+01,1.58E+03,2.40E+01,3.36E-04,2.70E+01,3.78E-04,3.60E+01,5.03E-04,2.90E+01,4.06E-04,8.73E-05,2.15E+01,2.40E+01
3.30E+01,1.63E+03,2.90E+01,4.06E-04,5.80E+01,8.11E-04,3.50E+01,4.90E-04,4.07E+01,5.69E-04,2.14E-04,3.76E+01,2.40E+01
3.40E+01,1.68E+03,3.10E+01,4.34E-04,6.30E+01,8.81E-04,3.80E+01,5.31E-04,4.40E+01,6.15E-04,2.35E-04,3.82E+01,2.40E+01
3.50E+01,1.73E+03,2.70E+01,3.78E-04,5.70E+01,7.97E-04,3.80E+01,5.31E-04,4.07E+01,5.69E-04,2.12E-04,3.73E+01,2.40E+01
3.60E+01,1.78E+03,3.60E+01,5.03E-04,7.40E+01,1.03E-03,4.50E+01,6.29E-04,5.17E+01,7.23E-04,2.78E-04,3.84E+01,2.40E+01
3.70E+01,1.83E+03,4.60E+01,6.43E-04,6.00E+01,8.39E-04,5.00E+01,6.99E-04,5.20E+01,7.27E-04,1.01E-04,1.39E+01,2.40E+01
3.80E+01,1.88E+03,4.30E+01,6.01E-04,7.10E+01,9.93E-04,4.80E+01,6.71E-04,5.40E+01,7.55E-04,2.09E-04,2.77E+01,2.40E+01
1.00E+00,2.50E+01,5.60E+01,7.83E-04,5.30E+01,7.41E-04,7.70E+01,1.08E-03,6.20E+01,8.67E-04,1.83E-04,2.11E+01,3.60E+01
2.00E+00,7.50E+01,5.70E+01,7.97E-04,4.00E+01,5.59E-04,6.00E+01,8.39E-04,5.23E+01,7.32E-04,1.51E-04,2.06E+01,3.60E+01
3.00E+00,1.25E+02,5.10E+01,7.13E-04,4.80E+01,6.71E-04,5.30E+01,7.41E-04,5.07E+01,7.09E-04,3.52E-05,4.97E+00,3.60E+01
4.00E+00,1.75E+02,5.40E+01,7.55E-04,3.70E+01,5.17E-04,5.70E+01,7.97E-04,4.93E+01,6.90E-04,1.51E-04,2.19E+01,3.60E+01
5.00E+00,2.25E+02,6.90E+01,9.65E-04,4.10E+01,5.73E-04,6.00E+01,8.39E-04,5.67E+01,7.93E-04,2.00E-04,2.52E+01,3.60E+01
6.00E+00,2.75E+02,6.50E+01,9.09E-04,3.70E+01,5.17E-04,4.50E+01,6.29E-04,4.90E+01,6.85E-04,2.02E-04,2.94E+01,3.60E+01
7.00E+00,3.25E+02,5.60E+01,7.83E-04,4.10E+01,5.73E-04,4.30E+01,6.01E-04,4.67E+01,6.53E-04,1.14E-04,1.75E+01,3.60E+01
8.00E+00,3.75E+02,5.60E+01,7.83E-04,4.00E+01,5.59E-04,4.40E+01,6.15E-04,4.67E+01,6.53E-04,1.16E-04,1.78E+01,3.60E+01
9.00E+00,4.25E+02,6.70E+01,9.37E-04,3.20E+01,4.48E-04,4.10E+01,5.73E-04,4.67E+01,6.53E-04,2.54E-04,3.89E+01,3.60E+01
1.00E+01,4.75E+02,3.70E+01,5.17E-04,3.10E+01,4.34E-04,3.20E+01,4.48E-04,3.33E+01,4.66E-04,4.50E-05,9.64E+00,3.60E+01
1.10E+01,5.25E+02,3.70E+01,5.17E-04,3.50E+01,4.90E-04,2.80E+01,3.92E-04,3.33E+01,4.66E-04,6.61E-05,1.42E+01,3.60E+01
1.20E+01,5.75E+02,4.90E+01,6.85E-04,4.10E+01,5.73E-04,2.10E+01,2.94E-04,3.70E+01,5.17E-04,2.02E-04,3.90E+01,3.60E+01
1.30E+01,6.25E+02,4.30E+01,6.01E-04,3.10E+01,4.34E-04,2.80E+01,3.92E-04,3.40E+01,4.76E-04,1.11E-04,2.33E+01,3.60E+01
1.40E+01,6.75E+02,3.60E+01,5.03E-04,3.80E+01,5.31E-04,2.10E+01,2.94E-04,3.17E+01,4.43E-04,1.30E-04,2.93E+01,3.60E+01
1.50E+01,7.25E+02,3.60E+01,5.03E-04,2.50E+01,3.50E-04,1.60E+01,2.24E-04,2.57E+01,3.59E-04,1.40E-04,3.90E+01,3.60E+01
1.60E+01,7.75E+02,3.30E+01,4.62E-04,2.10E+01,2.94E-04,2.30E+01,3.22E-04,2.57E+01,3.59E-04,8.99E-05,2.50E+01,3.60E+01
1.70E+01,8.25E+02,2.60E+01,3.64E-04,2.50E+01,3.50E-04,1.40E+01,1.96E-04,2.17E+01,3.03E-04,9.31E-05,3.07E+01,3.60E+01
1.80E+01,8.75E+02,2.10E+01,2.94E-04,5.00E+00,6.99E-05,1.00E+00,1.40E-05,9.00E+00,1.26E-04,1.48E-04,1.18E+02,3.60E+01
1.90E+01,9.25E+02,5.00E+00,6.99E-05,1.30E+01,1.82E-04,2.00E+00,2.80E-05,6.67E+00,9.32E-05,7.95E-05,8.53E+01,3.60E+01
2.00E+01,9.75E+02,6.00E+00,8.39E-05,1.70E+01,2.38E-04,1.00E+00,1.40E-05,8.00E+00,1.12E-04,1.14E-04,1.02E+02,3.60E+01
2.10E+01,1.03E+03,6.00E+00,8.39E-05,1.80E+01,2.52E-04,0.00E+00,0.00E+00,8.00E+00,1.12E-04,1.28E-04,1.15E+02,3.60E+01
2.20E+01,1.08E+03,5.00E+00,6.99E-05,9.00E+00,1.26E-04,3.00E+00,4.20E-05,5.67E+00,7.93E-05,4.27E-05,5.39E+01,3.60E+01
2.30E+01,1.13E+03,4.00E+00,5.59E-05,4.00E+00,5.59E-05,1.00E+00,1.40E-05,3.00E+00,4.20E-05,2.42E-05,5.77E+01,3.60E+01
2.40E+01,1.18E+03,0.00E+00,0.00E+00,1.00E+00,1.40E-05,1.00E+00,1.40E-05,6.67E-01,9.32E-06,8.07E-06,8.66E+01,3.60E+01
2.50E+01,1.23E+03,0.00E+00,0.00E+00,2.00E+00,2.80E-05,1.00E+00,1.40E-05,1.00E+00,1.40E-05,1.40E-05,1.00E+02,3.60E+01
2.60E+01,1.28E+03,1.00E+00,1.40E-05,4.00E+00,5.59E-05,1.00E+00,1.40E-05,2.00E+00,2.80E-05,2.42E-05,8.66E+01,3.60E+01
2.70E+01,1.33E+03,6.00E+00,8.39E-05,4.00E+00,5.59E-05,4.00E+00,5.59E-05,4.67E+00,6.53E-05,1.61E-05,2.47E+01,3.60E+01
2.80E+01,1.38E+03,2.00E+01,2.80E-04,1.30E+01,1.82E-04,1.00E+00,1.40E-05,1.13E+01,1.59E-04,1.34E-04,8.48E+01,3.60E+01
2.90E+01,1.43E+03,4.00E+01,5.59E-04,2.10E+01,2.94E-04,8.00E+00,1.12E-04,2.30E+01,3.22E-04,2.25E-04,7.00E+01,3.60E+01
3.00E+01,1.48E+03,4.40E+01,6.15E-04,5.60E+01,7.83E-04,2.60E+01,3.64E-04,4.20E+01,5.87E-04,2.11E-04,3.60E+01,3.60E+01
3.10E+01,1.53E+03,6.20E+01,8.67E-04,4.60E+01,6.43E-04,4.90E+01,6.85E-04,5.23E+01,7.32E-04,1.19E-04,1.63E+01,3.60E+01
3.20E+01,1.58E+03,4.80E+01,6.71E-04,6.30E+01,8.81E-04,5.00E+01,6.99E-04,5.37E+01,7.51E-04,1.14E-04,1.52E+01,3.60E+01
3.30E+01,1.63E+03,5.30E+01,7.41E-04,8.40E+01,1.17E-03,6.70E+01,9.37E-04,6.80E+01,9.51E-04,2.17E-04,2.28E+01,3.60E+01
3.40E+01,1.68E+03,4.30E+01,6.01E-04,7.60E+01,1.06E-03,6.50E+01,9.09E-04,6.13E+01,8.58E-04,2.35E-04,2.74E+01,3.60E+01
3.50E+01,1.73E+03,4.30E+01,6.01E-04,7.10E+01,9.93E-04,6.70E+01,9.37E-04,6.03E+01,8.44E-04,2.12E-04,2.51E+01,3.60E+01
3.60E+01,1.78E+03,5.70E+01,7.97E-04,7.10E+01,9.93E-04,6.40E+01,8.95E-04,6.40E+01,8.95E-04,9.79E-05,1.09E+01,3.60E+01
3.70E+01,1.83E+03,6.20E+01,8.67E-04,8.20E+01,1.15E-03,6.30E+01,8.81E-04,6.90E+01,9.65E-04,1.58E-04,1.63E+01,3.60E+01
3.80E+01,1.88E+03,5.10E+01,7.13E-04,8.80E+01,1.23E-03,6.00E+01,8.39E-04,6.63E+01,9.28E-04,2.70E-04,2.91E+01,3.60E+01
